Gene;Cell Line;Experimental Condition;CT Value
SDHA;HCAEC;24h NX;24,61
SDHA;HCAEC;24h NX;26,084
SDHA;HCAEC;24h HX;25,557
SDHA;HCAEC;24h HX;29,804
SDHA;HCAEC;24h HX;25,398
SDHA;HCAEC;24h HX;25,575
SDHA;HCAEC;24h HX;25,619
SDHA;HCAEC;24h HX;25,546
SDHA;HCAEC;72h HX;25,178
SDHA;HCAEC;72h HX;25,558
SDHA;HCAEC;72h HX;25,551
SDHA;HCAEC;72h HX;25,929
SDHA;HCAEC;72h HX;25,566
SDHA;HCAEC;72h HX;25,765
TBP;HCAEC;24h NX;26,363
TBP;HCAEC;24h NX;26,416
TBP;HCAEC;24h NX;25,96
TBP;HCAEC;24h NX;26,444
TBP;HCAEC;24h NX;26,064
TBP;HCAEC;24h NX;26,946
TBP;HCAEC;24h HX;26,947
TBP;HCAEC;24h HX;26,963
TBP;HCAEC;24h HX;26,612
TBP;HCAEC;24h HX;26,788
TBP;HCAEC;24h HX;26,762
TBP;HCAEC;24h HX;26,633
TBP;HCAEC;72h HX;26,932
TBP;HCAEC;72h HX;26,818
TBP;HCAEC;72h HX;26,938
TBP;HCAEC;72h HX;26,99
TBP;HCAEC;72h HX;26,704
TBP;HCAEC;72h HX;26,57
18s;Eahy.926;24h NX;7,834
18s;Eahy.926;24h NX;7,905
18s;Eahy.926;24h NX;7,749
18s;Eahy.926;24h NX;8,061
18s;Eahy.926;24h NX;9,328
18s;Eahy.926;24h NX;8,695
18s;Eahy.926;24h HX;10,51
18s;Eahy.926;24h HX;8,231
18s;Eahy.926;24h HX;9,338
18s;Eahy.926;24h HX;9,146
18s;Eahy.926;24h HX;8,599
18s;Eahy.926;24h HX;8,841
18s;Eahy.926;72h HX;9,2
18s;Eahy.926;72h HX;8,577
18s;Eahy.926;72h HX;8,806
18s;Eahy.926;72h HX;8,46
18s;Eahy.926;72h HX;8,08
18s;Eahy.926;72h HX;8,212
ActB;Eahy.926;24h NX;17,041
ActB;Eahy.926;24h NX;17,003
ActB;Eahy.926;24h NX;17,136
ActB;Eahy.926;24h NX;16,869
ActB;Eahy.926;24h NX;16,751
ActB;Eahy.926;24h NX;16,892
ActB;Eahy.926;24h HX;18,155
ActB;Eahy.926;24h HX;17,393
ActB;Eahy.926;24h HX;17,975
ActB;Eahy.926;24h HX;16,908
ActB;Eahy.926;24h HX;17,153
ActB;Eahy.926;24h HX;16,56
ActB;Eahy.926;72h HX;18,531
ActB;Eahy.926;72h HX;17,994
ActB;Eahy.926;72h HX;18,149
ActB;Eahy.926;72h HX;19,353
ActB;Eahy.926;72h HX;18,73
ActB;Eahy.926;72h HX;18,107
B2M;Eahy.926;24h NX;22,352
B2M;Eahy.926;24h NX;22,586
B2M;Eahy.926;24h NX;22,332
B2M;Eahy.926;24h NX;22,657
B2M;Eahy.926;24h NX;22,687
B2M;Eahy.926;24h NX;22,777
B2M;Eahy.926;24h HX;23,869
B2M;Eahy.926;24h HX;22,629
B2M;Eahy.926;24h HX;23,323
B2M;Eahy.926;24h HX;23,254
B2M;Eahy.926;24h HX;22,725
B2M;Eahy.926;24h HX;22,614
B2M;Eahy.926;72h HX;23,064
B2M;Eahy.926;72h HX;22,717
B2M;Eahy.926;72h HX;22,835
B2M;Eahy.926;72h HX;23,859
B2M;Eahy.926;72h HX;22,938
B2M;Eahy.926;72h HX;22,794
GAPDH;Eahy.926;24h NX;19,179
GAPDH;Eahy.926;24h NX;19,217
GAPDH;Eahy.926;24h NX;19,198
GAPDH;Eahy.926;24h NX;19,16
GAPDH;Eahy.926;24h NX;18,496
GAPDH;Eahy.926;24h NX;19
GAPDH;Eahy.926;24h HX;19,093
GAPDH;Eahy.926;24h HX;19,157
GAPDH;Eahy.926;24h HX;19,666
GAPDH;Eahy.926;24h HX;18,399
GAPDH;Eahy.926;24h HX;19,059
GAPDH;Eahy.926;24h HX;18,603
GAPDH;Eahy.926;72h HX;19,145
GAPDH;Eahy.926;72h HX;18,678
GAPDH;Eahy.926;72h HX;18,759
GAPDH;Eahy.926;72h HX;20,538
GAPDH;Eahy.926;72h HX;19,992
GAPDH;Eahy.926;72h HX;19,396
PPIA;Eahy.926;24h NX;25,496
PPIA;Eahy.926;24h NX;25,319
PPIA;Eahy.926;24h NX;25,407
PPIA;Eahy.926;24h NX;26,564
PPIA;Eahy.926;24h NX;27,249
PPIA;Eahy.926;24h NX;26,988
PPIA;Eahy.926;24h HX;27,311
PPIA;Eahy.926;24h HX;25,81
PPIA;Eahy.926;24h HX;26,662
PPIA;Eahy.926;24h HX;27,14
PPIA;Eahy.926;24h HX;26,649
PPIA;Eahy.926;24h HX;26,746
PPIA;Eahy.926;72h HX;27,213
PPIA;Eahy.926;72h HX;26,898
PPIA;Eahy.926;72h HX;26,505
PPIA;Eahy.926;72h HX;27,222
PPIA;Eahy.926;72h HX;26,682
PPIA;Eahy.926;72h HX;26,778
RPL13a;Eahy.926;24h NX;22,319
RPL13a;Eahy.926;24h NX;22,384
RPL13a;Eahy.926;24h NX;22,173
RPL13a;Eahy.926;24h NX;22,781
RPL13a;Eahy.926;24h NX;23,413
RPL13a;Eahy.926;24h NX;23,041
RPL13a;Eahy.926;24h HX;23,864
RPL13a;Eahy.926;24h HX;22,385
RPL13a;Eahy.926;24h HX;23,251
RPL13a;Eahy.926;24h HX;23,389
RPL13a;Eahy.926;24h HX;22,94
RPL13a;Eahy.926;24h HX;23,01
RPL13a;Eahy.926;72h HX;22,736
RPL13a;Eahy.926;72h HX;22,116
RPL13a;Eahy.926;72h HX;22,051
RPL13a;Eahy.926;72h HX;22,511
RPL13a;Eahy.926;72h HX;22,069
RPL13a;Eahy.926;72h HX;22,172
RPLP1;Eahy.926;24h NX;20,21
RPLP1;Eahy.926;24h NX;20,231
RPLP1;Eahy.926;24h NX;20,103
RPLP1;Eahy.926;24h NX;21,058
RPLP1;Eahy.926;24h NX;21,459
RPLP1;Eahy.926;24h NX;21,164
RPLP1;Eahy.926;24h HX;21,338
RPLP1;Eahy.926;24h HX;20,251
RPLP1;Eahy.926;24h HX;20,923
RPLP1;Eahy.926;24h HX;21,334
RPLP1;Eahy.926;24h HX;21,178
RPLP1;Eahy.926;24h HX;21,215
RPLP1;Eahy.926;72h HX;21,131
